Cluster,Categoría principal,Porcentaje
0,comp.sys.ibm.pc.hardware,100.0
1,rec.autos,100.0
2,sci.electronics,31.948881789137378
3,comp.sys.ibm.pc.hardware,100.0
4,talk.politics.mideast,100.0
5,comp.sys.ibm.pc.hardware,38.46153846153847
6,comp.sys.ibm.pc.hardware,24.050632911392405
