Categoría,Cluster principal,Porcentaje,Dispersión
comp.sys.ibm.pc.hardware,2,42.74193548387097,0.5725806451612903
comp.sys.mac.hardware,4,26.71232876712329,0.7328767123287672
rec.autos,2,65.57377049180327,0.34426229508196726
rec.sport.hockey,3,36.0,0.64
sci.electronics,2,52.13270142180095,0.47867298578199047
talk.politics.guns,2,48.93617021276596,0.5106382978723405
talk.politics.mideast,6,55.55555555555556,0.4444444444444444
