Cluster,Categoría principal,Porcentaje
0,sci.electronics,24.823943661971832
1,comp.sys.ibm.pc.hardware,100.0
2,talk.politics.guns,40.909090909090914
3,rec.autos,100.0
4,comp.sys.ibm.pc.hardware,100.0
5,sci.electronics,33.81642512077295
6,talk.politics.mideast,100.0
