Algoritmo,ARI,BCubed Precision,BCubed Recall,BCubed F-score
Jerárquico,0.07038490437909334,0.24575888540171076,0.6582681831680628,0.3417152316229802
K-means,0.05097790512372545,0.23562095471905828,0.5377626011797488,0.2977010563600639
