Categoría,Cluster principal,Porcentaje,Dispersión
comp.sys.ibm.pc.hardware,0,47.58064516129033,0.5241935483870968
comp.sys.mac.hardware,3,57.534246575342465,0.4246575342465754
rec.autos,2,60.65573770491803,0.39344262295081966
rec.sport.hockey,3,56.00000000000001,0.43999999999999995
sci.electronics,3,41.70616113744076,0.5829383886255924
talk.politics.guns,6,29.078014184397162,0.7092198581560284
talk.politics.mideast,6,54.166666666666664,0.45833333333333337
