Representación,Algoritmo,ARI,BCubed Precision,BCubed Recall,BCubed F-score
TF,K-means,0.005337927745330496,0.18604956752033913,0.954991963094312,0.3114274756036037
TF,Jerárquico,0.00900529010544399,0.19044454456709356,0.9243084636017279,0.3158179490886516
TF-IDF,K-means,0.1017235959995395,0.3039092551333521,0.34186770907529834,0.32177289243055257
TF-IDF,Jerárquico,0.09009251985221227,0.29063674097672143,0.6262863132129717,0.39702745428601166
Aditiva,K-means,0.006909890415594932,0.19455999520830697,0.5788453793370231,0.2912318893474694
Aditiva,Jerárquico,0.06332069805554891,0.2124261976618394,0.7056245416542968,0.3265465228472168
Media,K-means,0.08994020633443685,0.2579650010142349,0.275345353212362,0.2663719680586299
Media,Jerárquico,0.1191211095031682,0.28952805840118856,0.3768534142032549,0.3274690002700406
