Cluster,Categoría principal,Porcentaje
0,comp.sys.mac.hardware,45.0
1,comp.sys.mac.hardware,43.103448275862064
2,sci.electronics,33.033033033033036
3,sci.electronics,45.86466165413533
4,comp.sys.mac.hardware,43.333333333333336
5,comp.sys.ibm.pc.hardware,86.20689655172413
6,talk.politics.guns,45.16129032258064
