Categoría,Cluster principal,Porcentaje,Dispersión
comp.sys.ibm.pc.hardware,5,42.74193548387097,0.5725806451612903
comp.sys.mac.hardware,1,39.04109589041096,0.6095890410958904
rec.autos,3,40.98360655737705,0.5901639344262295
rec.sport.hockey,0,44.0,0.56
sci.electronics,0,32.70142180094787,0.6729857819905214
talk.politics.guns,4,24.822695035460992,0.75177304964539
talk.politics.mideast,4,40.27777777777778,0.5972222222222222
