Cluster,Categoría principal,Porcentaje
0,comp.sys.ibm.pc.hardware,53.153153153153156
1,sci.electronics,36.36363636363637
2,rec.autos,100.0
3,sci.electronics,31.20567375886525
4,sci.electronics,56.97674418604651
5,comp.sys.mac.hardware,100.0
6,talk.politics.guns,40.5940594059406
