Representación,ARI,BCubed Precision,BCubed Recall,BCubed F-score
Aditiva,0.03511529423557192,0.20349309643507318,0.6422349604956599,0.3088892060973431
Media,0.10453065791880253,0.27374652970771174,0.32609938370780844,0.29692048416433525
TF,0.007171608925387243,0.18824705604371633,0.93965021334802,0.3136227123461276
TF-IDF,0.0959080579258759,0.29727299805503676,0.48407701114413504,0.3594001733582821
