,Diff ARI,Diff BCubed Precision,Diff BCubed Recall,Diff BCubed F-score
TF,0.0036673623601134932,0.004394977046754428,-0.030683499492584088,0.004390473485047897
TF-IDF,-0.011631076147327238,-0.013272514156630666,0.28441860413767334,0.07525456185545909
Aditiva,0.05641080763995397,0.01786620245353243,0.1267791623172737,0.035314633499747394
Media,0.029180903168731356,0.03156305738695364,0.10150806099089293,0.06109703221141072
