Cluster,Categoría principal,Porcentaje
0,talk.politics.guns,33.33333333333333
1,sci.electronics,27.33160621761658
2,rec.autos,100.0
3,comp.sys.ibm.pc.hardware,100.0
4,comp.sys.ibm.pc.hardware,100.0
5,talk.politics.mideast,100.0
6,comp.sys.ibm.pc.hardware,100.0
