Cluster,Categoría principal,Porcentaje
0,sci.electronics,39.884393063583815
1,sci.electronics,28.57142857142857
2,sci.electronics,43.07692307692308
3,rec.autos,42.3728813559322
4,talk.politics.guns,25.735294117647058
5,comp.sys.ibm.pc.hardware,55.208333333333336
6,comp.sys.mac.hardware,100.0
