Cluster,Categoría principal,Porcentaje
0,sci.electronics,33.33333333333333
1,sci.electronics,33.33333333333333
2,comp.sys.mac.hardware,47.61904761904761
3,sci.electronics,77.77777777777779
4,talk.politics.mideast,43.609022556390975
5,comp.sys.ibm.pc.hardware,100.0
6,comp.sys.ibm.pc.hardware,100.0
